Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B789,5,2125000
United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B773,32,17728000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,177,39648000
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,487,69574512
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,13,5158816
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,50,7315000
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B739,9,1382700
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,25,3362050
Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,31,26722217
China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,25,3554950
United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B788,26,9880000
Swissport USA,UA,Swissport USA,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,2,288000
Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,23,195500
Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E170,360,27064080
"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B738,62,9070600
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,18,5760000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B739,311,48205300
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,60,27610000
SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ9,4,300400
Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,68,9369584
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,60,33240000
United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,31,17174000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,215,30960000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,64,8729207
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD90,2,284000
Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,42,13390000
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B773,1,554000
Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A343,12,5026536
Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,39,16575000
Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,B744,26,16818000
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A320,64,9012492
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,B744,32,20123043
Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,26,14404000
Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3720297
WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,13,5302115
United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,8,1170400
Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,6,775200
TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,52,7566260
